Title: ;BOM file - CSV
Description: ;Parts sorted by PartNumber
CodePage ;CP1251
Board Name: ;dm66_keyboard
Board ID: ;XXXX.XXXXXX.XXX Ý3
Author: ;Egor Mescheryakov;
Date: ;Monday, June 20, 2016
Time: ;22:39:19
Variant: ;$(VARIANT)
Revision: ;1.0.0
 
Count;RefDes;Value;PartNumber;Manufacturer;Package;ROHS;N_GROUP
1;C1;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C2;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C3;2u2;GRM219R71C225KE15D;Murata Manufacturing;0805;Y;CAP
1;C4;2u2;GRM219R71C225KE15D;Murata Manufacturing;0805;Y;CAP
1;C5;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C6;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C7;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C8;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C9;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C10;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C11;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C12;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C13;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C14;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C15;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C16;1u;06033C105KAT2A;AVX;0603;Y;CAP
1;C17;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C18;4n7;04025C472KAT2A;AVX;0402;Y;CAP
1;C19;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C20;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C21;1u;06033C105KAT2A;AVX;0603;Y;CAP
1;C22;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C23;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C24;100n;06035C104KAT2A;AVX;0603;Y;CAP
1;C25;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C26;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C27;2u2;GRM219R71C225KE15D;Murata Manufacturing;0805;Y;CAP
1;C28;2u2;GRM219R71C225KE15D;Murata Manufacturing;0805;Y;CAP
1;C29;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C30;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C31;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C32;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C33;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;C34;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C35;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C36;100n;0402YC104KAT2A;AVX;0402;Y;CAP
1;C37;1u;06033C105KAT2A;AVX;0603;Y;CAP
1;C38;10u;0805ZC106KAT2A;AVX;0805;Y;CAP
1;D1;;DS28CM00R-A00+T;Maxim Integrated Products;SOT23-5;Y;CH
1;D2;;OPT3001DNPT;Texas Instruments;USON-6;Y;CH
1;D3;8MHz;ASDMB-8.000MHz-LC-T;Abracon Corporation;SMD-4;Y;CH
1;D4;;OPT3001DNPT;Texas Instruments;USON-6;Y;CH
1;D5;;STM32F042G6U6;STMicroelectronics;UFQFPN-28;Y;CH
1;D6;;TJA1042TK/3,118;NXP Semiconductors;HVSON-8;Y;CH
1;D7;8MHz;ASDMB-8.000MHz-LC-T;Abracon Corporation;SMD-4;Y;CH
1;D8;;TJA1042TK/3,118;NXP Semiconductors;HVSON-8;Y;CH
1;D9;;STM32F042G6U6;STMicroelectronics;UFQFPN-28;Y;CH
1;D10;;ZXMS6004FFTA;Diodes Incorporated;SOT23F;Y;CH
1;L1;0H;BLM15PX121SN1D;Murata Electronics;0402;Y;CO
1;L2;0H;BLM15PX121SN1D;Murata Electronics;0402;Y;CO
1;L3;0H;BLM15PX121SN1D;Murata Electronics;0402;Y;CO
1;L4;0H;BLM15PX121SN1D;Murata Electronics;0402;Y;CO
1;R1;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R2;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R3;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R4;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R5;10K;ERJ2RKF1002X;Panasonic;0402;Y;RES
1;R6;33R;ERJ2RKF33R0X;Panasonic;0402;Y;RES
1;R7;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R8;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R9;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R10;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R11;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R12;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R13;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R14;1K8;ERJ2RKF1801X;Panasonic;0402;Y;RES
1;R15;1K8;ERJ2RKF1801X;Panasonic;0402;Y;RES
1;R16;1K8;ERJ2RKF1801X;Panasonic;0402;Y;RES
1;R17;60R4;ERJ2RKF60R4X;Panasonic;0402;Y;RES
1;R18;60R4;ERJ2RKF60R4X;Panasonic;0402;Y;RES
1;R19;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R20;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R21;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R22;1K3;ERJ2RKF1301X;Panasonic;0402;Y;RES
1;R23;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R24;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R25;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R26;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R27;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R28;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R29;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R30;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R31;10K;ERJ2RKF1002X;Panasonic;0402;Y;RES
1;R32;33R;ERJ2RKF33R0X;Panasonic;0402;Y;RES
1;R33;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R34;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R35;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R36;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R37;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R38;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R39;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R40;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R41;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R42;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R43;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R44;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R45;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R46;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R47;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R48;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R49;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R50;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R51;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R52;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R53;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R54;2K2;ERJ2RKF2201X;Panasonic;0402;Y;RES
1;R55;10K;ERJ2RKF1002X;Panasonic;0402;Y;RES
1;R56;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R57;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R58;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
1;R59;1K3;ERJ3EKF1301V;Panasonic;0603;Y;RES
